Campaign_ID,Channel,Date,Budget,Impressions,Clicks,Conversions,Revenue,Customer_Feedback
CMP_7666,Email,2025-03-15,6378.26,142360,4537,517,31461.940992813925,"Worst experience, link didn't work."
CMP_2449,SMS,2025-05-18,8742.08,207169,9155,600,17469.659528068856,"Not interested, irrelevant content."
CMP_3879,Email,2025-03-10,27904.0,1125490,88437,10265,257699.75783464746,"Not interested, irrelevant content."
CMP_1891,Website,2025-04-21,12663.98,581406,57625,7040,297961.74736909894,"Decent, but could be better."
CMP_9293,Website,2025-08-29,36847.4,1425117,72929,9139,272562.3893541038,The ad was okay but a bit repetitive.
CMP_9822,Social Media,2025-08-30,49225.26,540209,8918,944,88964.74712045824,"Decent, but could be better."
CMP_1191,Email,2025-06-28,17683.83,704409,61952,9091,570863.1722181882,"Great campaign, loved the visuals!"
CMP_1740,Email,2025-04-02,18550.85,381452,23532,1370,49583.50929271216,"Decent, but could be better."
CMP_9683,SMS,2025-08-26,28850.83,651377,61715,3431,278727.997808235,Love this brand!
CMP_1107,Social Media,2025-05-24,26744.7,278013,26392,4730,442776.12972060277,"Not interested, irrelevant content."
CMP_2585,Social Media,2025-01-29,20941.34,865377,40288,5997,369018.71899208386,Too expensive for me.
CMP_3402,Website,2025-12-15,32312.61,610664,50948,8083,438686.1178625719,"Decent, but could be better."
CMP_9337,Website,2025-06-19,42749.21,1196737,23514,1409,108717.50759559804,"Not interested, irrelevant content."
CMP_8266,Website,2025-02-11,8035.53,125480,5316,459,18951.08533392095,Too expensive for me.
CMP_6058,Website,2025-05-24,28823.87,1217816,41856,3835,289246.34916270844,"Decent, but could be better."
CMP_6210,Website,2025-02-09,28425.89,374376,27661,2569,231517.33725109938,Too expensive for me.
CMP_6531,Email,2025-05-20,32714.68,1383423,51576,8140,629464.8896261057,"Worst experience, link didn't work."
CMP_1966,Website,2025-06-05,5181.0,53754,2772,523,14712.95248912126,Amazing offer! bought it immediately.
CMP_5728,SMS,2025-10-11,32832.4,445879,40972,2618,226009.72783395182,Highly recommended!
CMP_9543,SMS,2025-04-04,41438.09,865396,12225,2119,69167.12840206778,"Great campaign, loved the visuals!"
CMP_2041,Website,2025-07-23,4498.25,107839,9783,1608,122451.93501947353,"Spammy ad, hidden it."
CMP_9359,Website,2025-02-23,38565.3,1337240,50100,5393,496050.0456443569,Love this brand!
CMP_1583,Email,2025-12-24,39656.24,1552957,64041,9015,868259.5930055189,Love this brand!
CMP_8761,Website,2025-04-27,33657.45,647931,41948,2250,145034.30056203943,Too expensive for me.
CMP_8790,Social Media,2025-03-09,45320.2,1014580,86154,14111,970975.2781024647,Too expensive for me.
CMP_6891,SMS,2025-08-11,49008.3,2048290,117440,6759,276904.39355189237,"Decent, but could be better."
CMP_3672,Website,2025-04-18,26108.06,660447,22034,1978,197699.10492518253,Amazing offer! bought it immediately.
CMP_5775,Social Media,2025-03-25,47592.58,729781,53529,5984,380866.49743526254,Amazing offer! bought it immediately.
CMP_8350,Social Media,2025-04-11,34737.02,483634,38765,2296,206944.7881396986,"Spammy ad, hidden it."
CMP_6905,SMS,2025-03-03,40498.9,1246244,112697,12382,312309.9879601933,"Worst experience, link didn't work."
CMP_5325,Website,2026-01-02,5628.79,240031,9983,1689,63860.42103158167,Amazing offer! bought it immediately.
CMP_2006,Email,2025-05-03,12005.56,280820,16195,2213,166601.64109055974,Highly recommended!
CMP_2178,SMS,2025-04-05,1649.27,55119,3794,748,29649.126782022744,Highly recommended!
CMP_4710,Website,2025-06-20,10740.6,474490,42916,4808,165376.605049168,The ad was okay but a bit repetitive.
CMP_1430,SMS,2025-04-05,44899.42,1046178,78701,5563,275681.07266756654,Highly recommended!
CMP_6269,Email,2025-06-21,19015.29,634931,25143,3125,67961.68702990601,"Decent, but could be better."
CMP_8713,Website,2025-08-13,19930.67,540156,52907,10235,606062.6140613566,Amazing offer! bought it immediately.
CMP_7316,Website,2025-04-25,5017.73,120846,10286,1361,48491.355630539976,"Decent, but could be better."
CMP_6196,Website,2025-07-23,36323.84,974475,88239,11607,815131.9167474213,"Worst experience, link didn't work."
CMP_5993,SMS,2025-09-15,13568.12,379818,27371,4947,185143.27929688667,Love this brand!
CMP_4549,Social Media,2025-10-06,12473.18,347557,26873,1574,50818.30269109873,"Worst experience, link didn't work."
CMP_9287,SMS,2025-11-07,32053.7,544134,24564,1768,75293.96467411272,The ad was okay but a bit repetitive.
CMP_9487,Social Media,2025-11-06,9132.46,187655,7513,1414,105284.06928281928,"Not interested, irrelevant content."
CMP_1279,Email,2025-05-06,27859.07,691756,33971,5452,308472.00401627104,The ad was okay but a bit repetitive.
CMP_7270,Social Media,2025-02-05,43741.64,1981602,137003,18218,1452006.7510700722,Highly recommended!
CMP_1412,Email,2025-07-08,3698.6,146753,3126,167,11334.202981235292,Highly recommended!
CMP_3805,Social Media,2025-02-02,20915.57,778604,64841,4290,182355.85731757263,Too expensive for me.
CMP_7997,SMS,2025-03-17,38643.1,1622139,148667,16427,1362249.8673416968,Too expensive for me.
CMP_4029,SMS,2025-02-03,3061.51,94909,5097,790,52176.58481344598,Love this brand!
CMP_3181,SMS,2025-01-20,43108.03,1419538,98389,7878,551136.8887157287,"Decent, but could be better."
CMP_1777,SMS,2025-02-14,6439.15,129468,3588,656,49273.779851227104,Highly recommended!
CMP_9372,SMS,2026-01-15,36451.51,1724506,119855,9979,755238.0174741182,The ad was okay but a bit repetitive.
CMP_4279,Website,2025-04-02,43447.52,2161088,68875,10779,453691.8068539172,"Not interested, irrelevant content."
CMP_7971,SMS,2025-01-21,7213.83,217825,10101,1963,66461.6590407235,"Decent, but could be better."
CMP_8346,SMS,2025-12-17,1331.07,30573,1665,258,22296.217985942163,Highly recommended!
CMP_5342,SMS,2025-02-11,19769.77,737343,51667,6190,131870.22559840328,Highly recommended!
CMP_8923,Website,2025-09-21,7974.4,152645,8983,1515,57888.02388403583,Love this brand!
CMP_1079,SMS,2025-01-26,1619.33,70403,2508,246,11072.319375326946,"Worst experience, link didn't work."
CMP_6200,SMS,2025-10-05,43122.54,980858,16500,1114,65682.1002908718,Too expensive for me.
CMP_7810,Social Media,2025-11-26,4539.74,54785,3879,753,71628.03789339338,"Decent, but could be better."
CMP_2785,Website,2025-11-21,20585.55,221211,17755,939,85188.85428380118,Amazing offer! bought it immediately.
CMP_3700,Website,2025-02-04,28367.66,785376,48155,4449,208976.0100760309,Highly recommended!
CMP_2275,SMS,2025-01-23,24208.99,973495,82523,7329,727810.1011860346,Amazing offer! bought it immediately.
CMP_7851,Social Media,2025-07-13,24211.06,1116501,30927,3492,188014.83155142065,"Worst experience, link didn't work."
CMP_5410,Social Media,2025-04-26,26408.92,456778,14960,1615,99257.05745495245,"Not interested, irrelevant content."
CMP_9881,Website,2025-06-06,24621.15,769818,36545,5268,352941.327035475,Too expensive for me.
CMP_1330,Email,2025-01-26,34661.52,1209634,13590,975,57520.748826486335,The ad was okay but a bit repetitive.
CMP_3512,Social Media,2025-11-09,43962.76,1436981,73310,7926,493188.0261989786,Highly recommended!
CMP_6364,Website,2025-11-17,31663.66,341025,28239,2328,124137.49586445653,"Not interested, irrelevant content."
CMP_3390,SMS,2025-11-18,24691.35,1021748,33478,2692,165071.845639644,Love this brand!
CMP_5482,Social Media,2025-12-26,35335.81,982118,37678,2547,159518.78277896345,Too expensive for me.
CMP_8482,Email,2025-02-19,24117.1,974146,22066,3167,304679.1586552299,"Great campaign, loved the visuals!"
CMP_3998,Social Media,2025-04-23,10358.76,447566,27327,2882,144486.7966598268,"Spammy ad, hidden it."
CMP_6678,SMS,2025-09-24,5290.96,227295,18524,3183,163763.5485649133,The ad was okay but a bit repetitive.
CMP_5074,Social Media,2025-03-25,28355.66,1112042,106464,7068,581717.6631228259,"Great campaign, loved the visuals!"
CMP_3679,Website,2025-03-23,22964.63,556275,8901,751,15147.650700159038,"Worst experience, link didn't work."
CMP_2348,SMS,2025-04-30,46455.54,769575,15194,2572,225669.51174678173,Love this brand!
